recrutement,nom,datesClefs,logo,codePostal,titresMajeurs,administratif,description,effectifs,email,rue,ville,anneeCreation,statut,contacts,RCS,categorie,titresEnCours,telephone,actualite,url,adresse,NAF,fax,website,chiffreAffaire
,Allegorithmic,,http://www.afjv.com/img/logo2/allegorithmic.png,63000,,,"Allegorithmic est le leader mondial des solutions de texturing avec sa solution Substance.Substance se positionne chaque jour un peu plus comme l'outil de texturing standard de l'industrie des développeurs AAA produisant pour la Next Gen (PS4, Xbox One en particulier), comme en atteste la liste grandissante de nos clients dans le domaine.",57,contact@allegorithmic.com,"31, rue Gonod",Clermont Ferrand,2003,SAS,"Sébastien Deguy - Président - sebastien.deguy@allegorithmic.com 
 Alexis Khouri - VP, Chief Sales Officer - alexis.khouri@allegorithmic.com 
 Nicolas Liatti - Chief Operating Officer - nicolas.liatti@allegorithmic.com",Clermont-Ferrand B 448 617 753,Middlewares,,04 73 34 70 80,"Démo de la technologie de game texturing Substance6 sept. 2014 - Le studio français Allegorithmic, développeurs d'outils de création graphique, a publié sa dernière démo technique ""Atlantis"", permettant d'offrir un aperçu des possibilités de leur technologie ...",http://www.afjv.com/societe/79-allegorithmic.htm,"31, rue Gonod 63000 Clermont Ferrand",5829B - Edition de logiciels outils de développement et de langages,,http://www.allegorithmic.com,2804100
,Ai-Wave (ESPT),,http://www.afjv.com/img/logo2/ai_wave.png,07000,,,"SDK complet pour la réalisation de jeux de courses et de simulation.Logiciel de gestion à distance de simulateurs. Lancement de parties, gestion temps réel des options, gestion sécurisée de la caisse.Prestations de service :",1,esaintpaul@aiwave.fr,Franchassy,Pranles,2000,SARL,Etienne SAINT-PAUL - Gérant / Dir. Technique - esaintpaul@aiwave.fr,Lyon B 432 867 448,Middlewares,,09 72 47 90 33,,http://www.afjv.com/societe/75-ai-wave-espt.htm,Franchassy 07000 Pranles,6201Z - Programmation informatique,09 72 30 18 74,http://www.aiwave.fr/,32000
,Agooloo Studios,,http://www.afjv.com/img/logo2/agooloo-studios.png,77680,,,Agooloo Studios est un studio de développement parisien.Notre principale activité : créer des jeux d'arcade dans l'univers du sport.Notre principale préoccupation :,Information indisponible,info@agooloo.com,8 avenue Saint Simon,Roissy en Brie,2015,SAS,"Julien JEAN-ALEXIS - Président 
 Euthmane MERADI - Directeur Général",Melun B 808 523 088,Studios,,,,http://www.afjv.com/societe/878-agooloo-studios.htm,8 avenue Saint Simon 77680 Roissy en Brie,6201Z - Programmation informatique,,http://www.agooloo.com/,
,Aesia,,http://www.afjv.com/img/logo2/aesia.png,33000,,,"Aesia est un studio de jeux vidéo fondé en 2008.Actuellement nous sommes au nombre de cinq associés et nous travaillons ensemble sous le statut juridique de coopérative.C'est à dire que chaque membre évoluant dans Aesia, détient une part du capital et que nous choisissons ensemble les orientations de notre studio.Notre organisation est plus ""conventionnelle"" dans la gestion de nos projets. Nous bénéficions d'un chef de projet, de personnes attribuées correspondantes aux besoins métiers dudit projet, de méthodes agiles de production.L'équipe d'AESIA est composée d'anciens membres de sociétés reconnues dans les secteurs du jeu vidéo, la bande dessinée, l'internet, l'audiotel, l'email-marketing ainsi que la téléphonie mobile.Les fondateurs sont passés par les sociétés Prizee, Motion-Twin, Index Multimedia, Virtual Games, MailPerformance.De par leurs parcours ils ont travaillé également pour les sociétés CanalPlus, TF1, Orange, Bouygues Telecom, Eidos, Ankama, Gameloft, Dargaud Editions, Tcho Mag, Glénat, Hachette, etc..Nos années d'expériences acquises dans ces différents domaines, nous permettent de partager notre savoir-faire, d'être créatifs et efficaces pour chacun de nos clients.",Information indisponible,,40 cours de Verdun,Bordeaux,2008,Autre,Frédéric RORAI - Gérant,Bordeaux B 509 434 494,Studios,,,,http://www.afjv.com/societe/725-aesia.htm,40 cours de Verdun 33000 Bordeaux,6201Z - Programmation informatique ,,http://www.aesia.fr/,
,Aerys,,http://www.afjv.com/img/logo2/aerys.png,75013,,,"Aerys développe et distribue des technologies innovantes spécialisées dans le temps réel à destination du web et des plateformes multimédia.Aerys propose deux technologies : « Orbit », spécialisée dans la création d’expériences multi-écrans connectées et temps réel à destination de toutes les plateformes multimédia. « Minko » est spécialisée dans la 3D pour le web et le mobile afin de visualiser un objet ou un environnement en 3D animée et interactive, en temps réel. Ces technologies bénéficient de nos compétences techniques en matière d’architecture de réseau en ligne et de technologie 3D.",Information indisponible,hello@aerys.in,15 rue Jean-Baptiste Berlier,Paris,2010,SAS,Jean-Marc LE ROUX - Président,Creteil B 520 907 585,Middlewares,,09 72 28 55 83,,http://www.afjv.com/societe/778-aerys.htm,15 rue Jean-Baptiste Berlier 75013 Paris,6201Z - Programmation informatique,,http://www.aerys.in/,350900
,Words of Magic,,http://www.afjv.com/img/logo/_words_of_magic.jpg,75012,,,"Localisation / adaptation de jeux vidéo de l'anglais vers le français.Lorsque nous avons créé Words of Magic en 1998, il était très difficile de trouver des traducteurs ayant une véritable connaissance des jeux vidéo et la qualité des versions françaises laissait souvent à désirer. En effet, comment appréhender cet univers si particulier quand on n'est pas familier avec ses règles, ses codes et son vocabulaire ?Nous avons eu la chance de grandir en même temps que les jeux vidéo. Les consoles et les premiers ordinateurs personnels ont connu leur essor alors que nous étions adolescents et nous avons été immédiatement fascinés par le potentiel incroyable de ces nouvelles machines. D'où l'idée de mettre à profit nos (trop) nombreuses heures passées devant un moniteur à tuer le dragon et délivrer la princesse, à sauver jour après jour l'univers d'une fin certaine, à défendre les forces du bien contre les armées des ténèbres (ou parfois l'inverse). Histoire de laisser enfin s'exprimer la petite voix qui disait : ""Tiens ! Je n'aurais pas traduit ça comme ça..."", afin de ne pas céder à la tentation d'acheter tous les jeux en version originale, afin de se convaincre que la langue française est, elle aussi, capable de créer et de faire vivre ces mondes merveilleux.Après avoir travaillé quelques années chez un éditeur de jeux vidéo, nous avons donc franchit le pas et décidé de créer notre société avec un objectif assez ambitieux : s'amuser avant tout, et s'assurer que notre enthousiasme se retrouve intact dans les jeux proposés aux joueurs.En conséquence, nous travaillons plutôt de manière artisanale : chez Words of Magic, pas d'armées de sous-traitants anonymes, juste une poignée d'amis ayant l'habitude de travailler ensemble depuis plusieurs années. Nous ne travaillons que vers notre langue natale : le français. Tout le travail est réalisé en interne et nous ne gérons que quelques jeux en même temps. Bien sûr, nous ne sommes pas capables de mettre dix traducteurs différents sur le même projet pour expédier une traduction à la vitesse de l'éclair. Mais si c'est la qualité du résultat final qui compte pour vous, vous ne serez pas déçus.Depuis notre création, nous avons travaillé sur de nombreux jeux dont nous sommes extrêmement fiers et avons fait de belles rencontres. Et si beaucoup de choses ont changé dans l'industrie du jeu vidéo, notre passion pour les jeux, les histoires et l'originalité est toujours la même.",3,contact@wordsofmagic.com,"65, rue de Reuilly",Paris,1998,SARL,Stéphanie MENU - Gérant,Paris B 418 900 502,Prestataires,,01 53 33 06 05,,http://www.afjv.com/societe/532-words-of-magic.htm,"65, rue de Reuilly 75012 Paris",6201Z - Programmation informatique,,http://www.wordsofmagic.com,
,Zero Games Studios,,http://www.afjv.com/img/logo2/zero_games_studios.png,75009,,,"Fondé en 2013, Zero Games est un studio indépendant qui travaille sur ses propres licences de jeux (PC, Mobile), ainsi que sur des jeux en prestations pour divers éditeurs et développeurs (PC, Mobile, Console).Grâce à son équipe à taille humaine pleine de dynamisme et de talent, notre studio basé en région Parisienne dispose d'un large panel de compétences qui concerne tous les stades de production.Spécialistes Unity 3D, nous créons aussi nos propres technologies et middlewares quand cela est nécessaire pour offrir le meilleur aux joueurs du monde entier.Et pour finir, il parait en plus qu'on est super sympas. C'est nos grand-mères qui le disent, donc ça doit sûrement être vrai ...",10,contact@zerogamesstudios.com,"19, boulevard Malesherbes",Paris,2013,SAS,"Pierre-Luc VETTIER - Directeur Général 
 Jean TRAMIER - Directeur Associé 
 Guillaume SECHER - Producer 
 Alban FERON - Lead Developpeur 
 Tanguy BELOUIN - Lead Artist",Nanterre B 795 106 095,Studios,,,,http://www.afjv.com/societe/755-zero-games-studios.htm,"19, boulevard Malesherbes 75009 Paris",5829C - Edition de logiciels applicatifs,,http://www.zerogamesstudios.com,
,Adictiz,,http://www.afjv.com/img/logo2/adictiz.png,59000,,,"Créée en avril 2009 par Charles Christory, Adictiz développe et édite des jeux sociaux sur le web et sur mobile. Avec des marques à succès tels que « Paf le Chien » ou « Il est con ce Pigeon » qui drainent près de 3,5 millions de joueurs mensuels, Adictiz se positionne en tant qu’expert en social gaming et mobile avec deux valeurs fondamentales : Créativité et Envie d'entreprendre.Basée à EuraTechnologies, pôle d'excellence économique lillois dédié aux Technologies de l'information et de la communication (TIC), Adictiz a créé fin 2011 l’entité Adictiz Studio, spécialisée dans la création de jeux sociaux sur mesure à destination des marques. Adictiz Studio a été récemment sélectionné par Facebook en tant que PMD (Preferred Marketing Developer).",41,contact@adictiz.com,"165, rue de Bretagne",Lille,2008,SAS,"Charles CHRISTORY - Président 
 Service de presse - press@adictiz.com",Lille Metropole B 504 614 892,Studios,,03 66 72 09 99,"1000 clients Adictiz Box : succès en Europe et lancement US19 juin 2014 - Adictiz Box lance une nouvelle version de sa solution clé en main et personnalisable, qui permet aux marques et agences d'animer leurs communautés. Fort de son développement en Europe, la start-up ... 
 Une série d'animation Paf le Chien bientôt adaptée à la TV31 janv. 2014 - Superprod et Adictiz sont heureux d'annoncer la signature d'un accord pour l'adaptation en série d'animation des jeux pour tablettes et téléphones mobiles Paf le Chien. Superprod développera et ... 
 Placement de marque : Spotify s'associe à Paf le Chien6 janv. 2014 - L'association de ces deux marques permet de générer encore plus d'interactivité entre les joueurs et Spotify, tout en apportant une expérience enrichie. Spotify est présent sur les versions iOS et ... 
 Antvoice cède ses parts de ""Il est Con ce Pigeon"" à Adictiz28 mai 2013 - Durant l'été 2010 nait l'application Facebook "" Il est Con ce Pigeon "", fruit d'une collaboration réussie entre AntVoice et Adictiz, 2 acteurs historiques de l'édition d'applications ludiques et ... 
 Produits dérivés : Adictiz lance sa boutique en ligne15 mai 2013 - L'E-Shop Adictiz propose pour le moment, des t-shirts Paf le Chien disponibles pour toute la famille, entièrement créés et assemblés en France, au prix unique de 17,99 €. Paf le Chien, le jeu aux ... 
 Adictiz réalise une levée de fonds de 2 millions d'euros14 nov. 2012 - Créée en 2009 par Charles Christory, 27 ans, Adictiz est à l'origine des jeux à succès sur le web et sur mobile "" Paf Le Chien "", "" Animal Story "" ou encore "" Il est Con ce Pigeon "". Fort de plus ... 
 Paf le Chien fête ses 3 ans - Happy Birthday Paf le Chien !1 oct. 2012 - A l'occasion des 3 ans de Paf le Chien Adictiz propose dès maintenant aux joueurs, une nouvelle expérience unique en termes de mobile et social gaming en intégrant un système ubiquitaire dans son ... 
 Adictiz poursuit son développement à l'international3 sept. 2012 - Le partenariat avec l'opérateur saoudien STC, pour lequel Adictiz a adapté son jeu casual Animal Story, est un nouvel exemple de sa capacité à exporter ses créations. En effet, grâce à une ... 
 La société lilloise Adictiz exporte ses jeux avec succès4 juil. 2012 - Adictiz, éditeur français de jeux sociaux sur mobiles et web, annonce le succès de Paf le Chien + dans plusieurs pays du monde. Cette nouvelle version du célèbre jeu Paf le Chien lancée il y a ... 
 Adictiz - Les faits et chiffres du mois de mai16 mai 2012 - Le jour suivant sa sortie, Paf le Chien + s'invite dans le top 5 de l' App Store - Animal Story : Plus de 300 000 téléchargements en France et Espagne sur l'App Store - Adictiz fête ses 3 ans en ...",http://www.afjv.com/societe/636-adictiz.htm,"165, rue de Bretagne 59000 Lille",6312Z - Portails internet,,http://www.adictiz.com,1380200
,Zenimax - Bethesda Softworks,,http://www.afjv.com/img/logo2/bethesda.png,75014,,,"Bethesda Softworks, filiale de ZeniMax Media Inc., est un éditeur de logiciels de divertissement interactifs opérant dans le monde entier.",10,info@bethsoft.com,"1, rue du Départ",Paris,2010,SA,"Julie CHALMETTE - Président 
 Sean BRENNAN - Directeur Général",Paris B 527 654 586,Editeurs,,,"Zenimax Media fait l'acquisition d'Escalation Studios1 fév. 2017 - Fondée en 2007 par Tom Mustaine et Marc Tardif, deux vétérans de l'industrie, l'équipe d'Escalation a contribué à la création de franchises incontournables de l'industrie, telles que Doom, le jeu ... 
 Dishonored 2 et The Elder Scrolls Legends jouables à la PGW26 oct. 2016 - Dishonored 2 et The Elder Scrolls : Legends sont à découvrir dans le Hall 1 - Allée H Stand 38 - L'art de Dishonored 2 sera à l'honneur sur le stand Jeux Made in France et sur le stand d'ARTtitude ... 
 QuakeCon : Les infos du salon5 août 2016 - Une première bande-annonce de gameplay a été dévoilée pour Prey lors de la QuakeCon. Lors de cette QuakeCon, Dishonored 2 est de retour et cette fois-ci Corvo Attano se retrouve en haut de ... 
 The Art of Dishonored 2 - le nouvel artbook de Dark Horse30 juin 2016 - Ce nouveau livre fantastique comprend des centaines d'illustrations exclusives, jamais vu auparavant, retraçant le développement de Dishonored 2 - le nouveau chapitre de Dishonored, le jeu maintes ... 
 Bethesda France annonce les gagnants de la Doom Game Jam6 juin 2016 - En partenariat avec trois grandes écoles françaises du jeu vidéo : Isart Digital, Epitech et Bellecour École, la Doom Game Jam est une compétition organisée sur une durée de dix heures. 
 Bethesda France organise une ""Doom Game Jam""25 mai 2016 - La Doom Game Jam est une compétition organisée sur une durée de dix heures où chaque participant est mis au défi de créer la meilleure carte de jeu possible, en utilisant le mode SnapMap disponible... 
 Bethesda Game Studios ouvre un studio à Montréal10 déc. 2015 - Bethesda Game Studios Montréal a déjà constitué une équipe de plus de 40 développeurs, pour console et mobile. Yves Lachance, pionner de l'industrie prendra la tête de ce nouveau studio. 
 Ventes record pour le jeu de Bethesda : Fallout 416 nov. 2015 - Fallout 4 a enregistré des ventes record en magasin et en téléchargement sur Xbox One, PS4 et PC. Environ 12 millions d'exemplaires du jeu ont été livrés, dépassant les 750 millions de dollars. 
 SELL : élection du CA et adhésion de nouveaux membres4 sept. 2015 - Bethesda, représenté par Julie Chalmette, fait son entrée au Conseil d'Administration du SELL. Le marché français revêt une importance particulière pour Bethesda puisque nous y avons non seulement ... 
 Les grands classiques de Bethesda sans DRM sur GOG.com26 août 2015 - GOG.com et Bethesda Softworks se sont unis pour lancer leurs plus grands succès pour la première fois sans DRM. Les nouveaux arrivants incluent deux jeux disponibles en téléchargement pour la ...",http://www.afjv.com/societe/895-zenimax-bethesda-softworks.htm,"1, rue du Départ 75014 Paris",6209Z - Autres activités informatiques,,http://bethsoft.com/fr-fr,12590400
,Ynnis Interactive,,http://www.afjv.com/img/logo2/ynnis-interactive.png,75011,,,"Entrepreneur des Cultures de l'ImaginaireFondé par Cedric Littardi, créateur du premier label européen d'animation japonaise (Kazé, né en 1993), Ynnis Interactive est un éditeur ayant pour objectif de travailler sur la partie jeu vidéo de projets issus des cultures de l'imaginaire et dotés d'une forte dynamique trans-média. Son premier jeu, Strike Suit Zero, a été publié en janvier 2013.Pour son premier développement sous licence, quel meilleur choix que les Mystérieuses Cités d'Or, mythique co-production entre le Japon et la France dont la puissance narrative a marqué durablement une génération entière.Depuis 2015, Ynnis Interactive développe son premier jeu, Dungeon Mini, un projet hybride entre jeu vidéo, jeu de plateau et jeu de rôle.",Information indisponible,contact@ynnis.net,12 rue de la Folie Regnault,Paris,2013,SAS,"Cédric LITTARDI - Président 
 Gaëlle BUECHELER - Directrice Marketing - contact@ynnis.net",Paris B 791 978 281,Editeurs,,,"Les Mystérieuses Cités d'Or termine à 150% sur Kickstarter30 sept. 2013 - Le développeur Neko Entertainment et l'éditeur Ynnis Interactive sont heureux et fiers d'avoir allègrement dépassé le seuil des 150% pour leur campagne de financement participatif sur Kickstarter, ... 
 La version PC des Mystérieuses Cités d'Or sur Kickstarter29 août 2013 - Annoncé au début du mois par le développeur Neko Entertainment et l'éditeur Ynnis Interactive, le deuxième jeu vidéo adapté des Mystérieuses Cités d'Or, intitulé "" Mondes Secrets "", sortira cet ...",http://www.afjv.com/societe/740-ynnis-interactive.htm,12 rue de la Folie Regnault 75011 Paris,5829C - Edition de logiciels applicatifs ,,http://www.ynnis.net/,598400
,Zeffyr,,http://www.afjv.com/img/logo2/zeffyr.jpg,84000,,,"Le studio Zeffyr est spécialisé dans la création et la gestion de jeux vidéo ayant une interface web.Les jeux Zeffyr ne nécessitent pas de téléchargement, pas d'installation, et enfin pas d'ordinateur surpuissant. Vous pouvez jouer tous les jours depuis votre navigateur internet.La société a été fondée en novembre 2007",Information indisponible,,200 rue Michel de Montaigne,Avignon,2007,SARL,"Nicolas MARTOS - Gérant 
 Christophe SAINT JULIEN - Gérant",Avignon B 500 740 436,Studios,,,,http://www.afjv.com/societe/742-zeffyr.htm,200 rue Michel de Montaigne 84000 Avignon,6209Z - Autres activités informatiques,,http://www.zeffyr.com/,92600
